"Node_Id","Logical_Node_Id","Agent_Type","Cpu_Cores_Count","Simd_Count","Cpu_Core_Id_Base","Simd_Id_Base","Max_Waves_Per_Simd","Lds_Size_In_Kb","Gds_Size_In_Kb","Num_Gws","Wave_Front_Size","Num_Xcc","Cu_Count","Array_Count","Num_Shader_Banks","Simd_Arrays_Per_Engine","Cu_Per_Simd_Array","Simd_Per_Cu","Max_Slots_Scratch_Cu","Gfx_Target_Version","Vendor_Id","Device_Id","Location_Id","Domain","Drm_Render_Minor","Num_Sdma_Engines","Num_Sdma_Xgmi_Engines","Num_Sdma_Queues_Per_Engine","Num_Cp_Queues","Max_Engine_Clk_Ccompute","Max_Engine_Clk_Fcompute","Sdma_Fw_Version","Fw_Version","Capability","Cu_Per_Engine","Max_Waves_Per_Cu","Family_Id","Workgroup_Max_Size","Grid_Max_Size","Local_Mem_Size","Hive_Id","Gpu_Id","Workgroup_Max_Dim_X","Workgroup_Max_Dim_Y","Workgroup_Max_Dim_Z","Grid_Max_Dim_X","Grid_Max_Dim_Y","Grid_Max_Dim_Z","Name","Vendor_Name","Product_Name","Model_Name"
0,0,"CPU",128,0,0,0,0,0,0,0,0,1,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5008,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,"AMD EPYC 9575F 64-Core Processor","CPU","AMD EPYC 9575F 64-Core Processor",""
1,1,"CPU",128,0,128,0,0,0,0,0,0,1,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5008,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,"AMD EPYC 9575F 64-Core Processor","CPU","AMD EPYC 9575F 64-Core Processor",""
2,2,"GPU",0,1024,0,2147487744,8,160,0,64,64,8,256,32,32,1,9,4,32,90500,4098,30112,29952,0,128,2,14,8,24,5008,2200,12,29,2755109504,8,32,141,1024,4294967295,0,1940349668571709000,12605,1024,1024,1024,2147483647,65535,65535,"gfx950","AMD","AMD Radeon Graphics","ip discovery"
3,3,"GPU",0,1024,0,2147487780,8,160,0,64,64,8,256,32,32,1,9,4,32,90500,4098,30112,1280,0,136,2,14,8,24,5008,2200,12,29,2755109504,8,32,141,1024,4294967295,0,1940349668571709000,54552,1024,1024,1024,2147483647,65535,65535,"gfx950","AMD","AMD Radeon Graphics","ip discovery"
4,4,"GPU",0,1024,0,2147487816,8,160,0,64,64,8,256,32,32,1,9,4,32,90500,4098,30112,25856,0,144,2,14,8,24,5008,2200,12,29,2755109504,8,32,141,1024,4294967295,0,1940349668571709000,64816,1024,1024,1024,2147483647,65535,65535,"gfx950","AMD","AMD Radeon Graphics","ip discovery"
5,5,"GPU",0,1024,0,2147487852,8,160,0,64,64,8,256,32,32,1,9,4,32,90500,4098,30112,5376,0,152,2,14,8,24,5008,2200,12,29,2755109504,8,32,141,1024,4294967295,0,1940349668571709000,6421,1024,1024,1024,2147483647,65535,65535,"gfx950","AMD","AMD Radeon Graphics","ip discovery"
6,6,"GPU",0,1024,0,2147487888,8,160,0,64,64,8,256,32,32,1,9,4,32,90500,4098,30112,62720,0,160,2,14,8,24,5008,2200,12,29,2755109504,8,32,141,1024,4294967295,0,1940349668571709000,37212,1024,1024,1024,2147483647,65535,65535,"gfx950","AMD","AMD Radeon Graphics","ip discovery"
7,7,"GPU",0,1024,0,2147487924,8,160,0,64,64,8,256,32,32,1,9,4,32,90500,4098,30112,34048,0,168,2,14,8,24,5008,2200,12,29,2755109504,8,32,141,1024,4294967295,0,1940349668571709000,30073,1024,1024,1024,2147483647,65535,65535,"gfx950","AMD","AMD Radeon Graphics","ip discovery"
8,8,"GPU",0,1024,0,2147487960,8,160,0,64,64,8,256,32,32,1,9,4,32,90500,4098,30112,58624,0,176,2,14,8,24,5008,2200,12,29,2755109504,8,32,141,1024,4294967295,0,1940349668571709000,23889,1024,1024,1024,2147483647,65535,65535,"gfx950","AMD","AMD Radeon Graphics","ip discovery"
9,9,"GPU",0,1024,0,2147487996,8,160,0,64,64,8,256,32,32,1,9,4,32,90500,4098,30112,38144,0,184,2,14,8,24,5008,2200,12,29,2755109504,8,32,141,1024,4294967295,0,1940349668571709000,47476,1024,1024,1024,2147483647,65535,65535,"gfx950","AMD","AMD Radeon Graphics","ip discovery"
